hand,prob
AA,0.147992
AKo,0.21647
AQs,0.00217413
AQo,0.0574885
AJs,1.09331e-05
ATo,3.85931e-05
A9s,0.00444059
AJo,0.049063
A9o,0.0113213
A8o,0.253496
A7o,0.808047
A4s,0.00280577
A4o,0.936645
A3s,0.0936346
A3o,0.996798
A2o,0.449846
KQs,0.000238079
K9s,0.436549
K8s,0.39911
K8o,0.674196
K7o,0.69036
K6s,0.650505
K6o,0.998821
K5o,0.407011
KJs,0.00688565
K2o,0.276973
QJs,0.108645
A6s,0.00744254
QQ,0.0627815
QTs,0.0322361
Q9o,0.999998
Q7s,0.326946
K7s,0.157148
Q6s,0.595303
Q6o,0.769789
Q5o,0.00601702
Q3s,0.79516
Q7o,0.497119
Q3o,0.259622
Q2s,0.055066
Q2o,0.996648
QJo,0.182827
JJ,0.164917
JTs,0.0542395
K5s,0.637455
JTo,0.375829
J9s,0.143864
QTo,0.998891
J8o,0.994664
J5s,0.960361
J5o,0.0404148
J4s,0.00155763
T6o,0.0709993
98o,0.984733
J3s,0.938684
J3o,0.735788
92s,0.945065
95o,0.755391
98s,0.0355662
J7s,0.429588
J7o,0.037834
J2s,0.754753
A8s,0.0192464
J2o,0.553563
87o,0.999253
TT,0.422485
T9s,0.0122961
88,0.646558
J9o,0.95247
T9o,0.773242
T8o,0.824874
66,0.109752
T7s,0.00077276
K9o,0.718726
T4s,0.529811
T5s,0.909086
A7s,0.0361445
A5s,0.00143802
44,0.00166635
T3s,0.473908
T8s,0.289228
T3o,0.914688
75o,0.829323
T5o,0.628118
A2s,0.62772
Q8o,0.928964
T2o,0.991227
97o,0.0271931
J6o,0.0761943
96o,7.82673e-05
53s,0.299851
76s,0.270799
94o,0.963598
K3s,0.874837
T2s,0.633163
93o,0.96805
87s,0.0245681
Q4s,0.921044
52s,0.944656
73s,0.999861
J8s,0.0101941
A6o,0.424379
93s,0.997825
85s,0.237927
82o,0.0270464
82s,0.310722
Q5s,0.338678
96s,0.0467698
86o,0.193593
85o,0.00654562
62o,0.00457921
Q9s,0.669249
53o,0.397234
74o,0.578401
83o,0.619043
63o,0.293186
AKs,0.000177102
Q4o,0.0144271
77,0.962604
94s,0.798079
K3o,0.0122495
64s,0.102212
A5o,0.907989
86s,0.0263532
76o,0.984528
75s,0.379843
74s,0.999758
32o,0.000369871
43s,0.8333
73o,0.998711
K4s,0.810779
84o,0.415069
T6s,0.253179
92o,0.658469
ATs,0.0113433
72s,0.98392
65s,0.0671924
83s,0.519395
22,0.000240937
KJo,0.00102243
33,0.022284
55,0.353145
52o,0.996804
K2s,0.610579
65o,0.942727
84s,0.999868
54o,0.994475
T7o,0.478274
KK,0.236931
64o,0.999751
J6s,0.975165
KTo,0.448929
Q8s,0.0390275
63s,2.57358e-06
54s,0.436267
43o,0.821582
KQo,0.108853
K4o,0.149627
62s,0.996864
95s,0.57924
72o,0.000376655
J4o,0.0434376
97s,0.0753525
32s,0.999411
T4o,0.975274
KTs,0.00049765
42s,0.930834
42o,0.0147076
99,0.202712
