hand,prob
AA,0.13427
AKo,0.168787
AQs,0.120193
AQo,0.129945
AJs,0.0110684
ATo,0.0398482
A9s,0.313635
AJo,0.000381884
A9o,0.0154402
A8o,0.118651
A7o,0.226842
A4s,0.574186
A4o,0.987214
A3s,0.335217
A3o,0.930207
A2o,0.895632
KQs,0.239884
K9s,0.573526
K8s,0.0202646
K8o,0.71867
K7o,0.504102
K6s,0.0212031
K6o,0.261024
K5o,0.54669
KJs,0.093622
K2o,0.29671
QJs,0.59127
A6s,0.837046
QQ,0.45092
QTs,0.19556
Q9o,0.998396
Q7s,0.0494331
K7s,0.897481
Q6s,0.0294885
Q6o,0.71321
Q5o,0.250637
Q3s,0.534548
Q7o,0.343094
Q3o,0.924501
Q2s,0.210912
Q2o,0.314591
QJo,0.938906
JJ,0.0246232
JTs,0.0646016
K5s,0.975186
JTo,0.0113763
J9s,0.188996
QTo,0.935281
J8o,0.972438
J5s,0.631145
J5o,0.707219
J4s,0.0796504
T6o,0.847857
98o,0.752252
J3s,0.704597
J3o,0.191896
92s,0.511592
95o,0.874033
98s,0.0190886
J7s,0.160087
J7o,0.602266
J2s,0.968538
A8s,0.418661
J2o,0.194578
87o,0.885848
TT,0.557115
T9s,0.726441
88,0.601438
J9o,0.998098
T9o,0.385031
T8o,0.18612
66,0.0821779
T7s,0.507556
K9o,0.98209
T4s,0.181734
T5s,0.371781
A7s,0.396611
A5s,0.463646
44,0.385638
T3s,0.666726
T8s,0.29179
T3o,0.822172
75o,0.946386
T5o,0.0376013
A2s,0.677675
Q8o,0.341821
T2o,0.978438
97o,0.183761
J6o,0.994779
96o,0.0808416
53s,0.997761
76s,0.555277
94o,0.945951
K3s,0.461678
T2s,0.398634
93o,0.30109
87s,0.428857
Q4s,0.29448
52s,0.158543
73s,0.855983
J8s,0.241599
A6o,0.641888
93s,0.387928
85s,0.31045
82o,0.423457
82s,0.636601
Q5s,0.859104
96s,0.26316
86o,0.994497
85o,0.350436
62o,0.36557
Q9s,0.0303786
53o,0.825996
74o,0.132001
83o,0.885463
63o,0.357636
AKs,0.184383
Q4o,0.929926
77,0.200247
94s,0.807015
K3o,0.97126
64s,0.308948
A5o,0.509785
86s,0.0146283
76o,0.780489
75s,0.262741
74s,0.763542
32o,0.359717
43s,0.520712
73o,0.57873
K4s,0.778392
84o,0.484824
T6s,0.437975
92o,0.138672
ATs,0.361898
72s,0.618692
65s,0.225709
83s,0.385685
22,0.138151
KJo,2.31894e-06
33,0.383225
55,0.141666
52o,0.704605
K2s,0.804848
65o,0.388707
84s,0.863581
54o,0.973445
T7o,0.42555
KK,0.0519738
64o,0.989541
J6s,0.322952
KTo,0.33658
Q8s,0.489854
63s,0.00270098
54s,0.888104
43o,0.971554
KQo,0.00485347
K4o,0.577714
62s,0.762271
95s,0.834185
72o,0.283969
J4o,0.41677
97s,0.453541
32s,0.643471
T4o,0.707051
KTs,0.507467
42s,0.431045
42o,0.010477
99,0.258021
