hand,prob
AA,0.883589
AKo,0.94429
AQs,0.999864
AQo,0.948119
AJs,0.826748
ATo,0.999998
A9s,0.999722
AJo,0.98573
A9o,0.953293
A8o,0.881147
A7o,0.858202
A4s,0.999825
A4o,0.00395487
A3s,0.994143
A3o,0.177471
A2o,0.887634
KQs,0.999985
K9s,0.386086
K8s,0.975049
K8o,0.0314988
K7o,0.298799
K6s,0.211637
K6o,7.37373e-05
K5o,0.799564
KJs,0.982355
K2o,0.979989
QJs,0.796667
A6s,0.999535
QQ,0.991016
QTs,0.997094
Q9o,8.06433e-08
Q7s,0.422452
K7s,0.9851
Q6s,0.0289849
Q6o,0.223946
Q5o,0.999624
Q3s,0.563092
Q7o,0.3194
Q3o,0.983767
Q2s,0.117157
Q2o,0.457957
QJo,0.625873
JJ,0.864326
JTs,0.996613
K5s,0.251637
JTo,0.362485
J9s,0.990969
QTo,0.00676086
J8o,0.00361491
J5s,0.507842
J5o,0.991107
J4s,0.786287
T6o,0.995565
98o,0.398182
J3s,0.00384266
J3o,0.157343
92s,0.00342348
95o,0.230522
98s,0.992209
J7s,0.938502
J7o,0.997631
J2s,0.017221
A8s,0.9988
J2o,0.215774
87o,4.6621e-05
TT,0.750422
T9s,0.999232
88,0.911097
J9o,0.00334382
T9o,0.0146662
T8o,0.0109181
66,0.500049
T7s,0.999952
K9o,0.280011
T4s,0.143892
T5s,0.132343
A7s,0.997731
A5s,0.99991
44,0.999896
T3s,0.0338452
T8s,0.924
T3o,0.0120976
75o,0.0791418
T5o,0.750327
A2s,0.742489
Q8o,0.260866
T2o,0.000547929
97o,0.920737
J6o,0.995239
96o,0.999995
53s,0.96543
76s,0.983067
94o,0.00227218
K3s,0.470229
T2s,0.10106
93o,0.00121311
87s,0.931028
Q4s,0.00727907
52s,0.167277
73s,8.22012e-06
J8s,0.999365
A6o,0.0825093
93s,0.000131878
85s,0.41686
82o,8.72472e-05
82s,0.583644
Q5s,0.749326
96s,0.507825
86o,0.060868
85o,0.980613
62o,2.79634e-05
Q9s,0.932035
53o,0.162752
74o,0.646351
83o,7.6465e-07
63o,0.0467428
AKs,0.999989
Q4o,0.999096
77,0.00233747
94s,0.121608
K3o,0.999234
64s,0.993558
A5o,0.0200966
86s,0.959952
76o,0.00096679
75s,0.686977
74s,2.816e-05
32o,0.000166757
43s,0.910539
73o,1.73907e-06
K4s,0.0468861
84o,0.245737
T6s,0.92179
92o,0.00091073
ATs,0.999294
72s,0.000998483
65s,0.988855
83s,0.0319117
22,0.999985
KJo,0.982358
33,0.998602
55,0.358897
52o,1.36131e-05
K2s,0.276902
65o,0.00359016
84s,0.284706
54o,0.00034448
T7o,0.920976
KK,0.864239
64o,0.118763
J6s,0.360406
KTo,0.225255
Q8s,0.930422
63s,0.915547
54s,0.97255
43o,0.50531
KQo,0.940681
K4o,0.503977
62s,0.000193048
95s,0.0631234
72o,7.07515e-06
J4o,0.997292
97s,0.903506
32s,2.60906e-05
T4o,0.425608
KTs,0.999969
42s,0.0043186
42o,8.88731e-06
99,0.408958
