hand,prob
AA,0.951137
AKo,0.736321
AQs,0.861303
AQo,0.98322
AJs,0.999302
ATo,0.99753
A9s,0.718321
AJo,0.894781
A9o,0.709256
A8o,0.225841
A7o,0.669513
A4s,0.818039
A4o,0.573439
A3s,0.748118
A3o,0.0598627
A2o,0.0162902
KQs,0.984789
K9s,0.642547
K8s,0.97529
K8o,0.269678
K7o,0.0418666
K6s,0.941237
K6o,0.0751426
K5o,0.136404
KJs,0.993987
K2o,0.958077
QJs,0.941486
A6s,0.681445
QQ,0.946695
QTs,0.705799
Q9o,8.25851e-05
Q7s,0.482841
K7s,0.848741
Q6s,0.567243
Q6o,0.563528
Q5o,0.737205
Q3s,0.147107
Q7o,0.275318
Q3o,0.00396599
Q2s,0.494476
Q2o,0.186409
QJo,0.768038
JJ,0.998477
JTs,0.416822
K5s,0.495614
JTo,0.538148
J9s,0.314359
QTo,0.0710909
J8o,0.0433826
J5s,0.200158
J5o,0.828854
J4s,0.900175
T6o,0.876571
98o,0.337385
J3s,0.455942
J3o,0.655052
92s,0.0316733
95o,0.0240122
98s,0.664371
J7s,0.162345
J7o,0.456876
J2s,0.00198699
A8s,0.856571
J2o,0.953322
87o,0.0475563
TT,0.270419
T9s,0.211896
88,0.731586
J9o,0.0616807
T9o,0.493152
T8o,0.449727
66,0.994871
T7s,0.950793
K9o,0.228865
T4s,0.850939
T5s,0.0904833
A7s,0.437558
A5s,0.92677
44,0.893627
T3s,0.0576268
T8s,0.608383
T3o,0.345913
75o,0.113488
T5o,0.267625
A2s,0.937026
Q8o,0.587953
T2o,0.563444
97o,0.529243
J6o,0.616189
96o,0.994927
53s,0.524734
76s,0.351231
94o,0.025078
K3s,0.640161
T2s,0.701747
93o,0.0984221
87s,0.402205
Q4s,0.0805085
52s,0.0822625
73s,0.00840704
J8s,0.663835
A6o,0.594367
93s,0.135095
85s,0.0786921
82o,0.0893477
82s,0.0397629
Q5s,0.309529
96s,0.84524
86o,0.0107762
85o,0.578526
62o,0.0282115
Q9s,0.977487
53o,0.507525
74o,0.244711
83o,0.000785575
63o,0.066928
AKs,0.988625
Q4o,0.540519
77,0.628554
94s,0.0144812
K3o,0.254597
64s,0.0513058
A5o,0.528205
86s,0.584635
76o,0.162105
75s,0.469692
74s,0.0138757
32o,0.162732
43s,0.709994
73o,0.00176662
K4s,0.542757
84o,0.646976
T6s,0.556668
92o,0.429521
ATs,0.977278
72s,0.939186
65s,0.0473026
83s,0.415606
22,0.984346
KJo,0.934656
33,0.620303
55,0.808668
52o,0.0139813
K2s,0.699502
65o,0.819122
84s,0.00488957
54o,0.340512
T7o,0.973203
KK,0.275281
64o,0.0158743
J6s,0.253932
KTo,0.350395
Q8s,0.724871
63s,0.999829
54s,0.471572
43o,3.00631e-05
KQo,0.892616
K4o,0.869832
62s,0.198711
95s,0.334907
72o,0.007214
J4o,0.633846
97s,0.947417
32s,0.0266373
T4o,2.19379e-06
KTs,0.968157
42s,0.124629
42o,0.00910629
99,0.797711
