hand,prob
AA,0.987818
AKo,0.848715
AQs,0.965171
AQo,0.870026
AJs,0.999825
ATo,0.999384
A9s,0.929259
AJo,0.764564
A9o,0.832651
A8o,0.348343
A7o,0.281393
A4s,0.955019
A4o,0.523936
A3s,0.9298
A3o,0.0510038
A2o,0.00408443
KQs,0.996181
K9s,0.656788
K8s,0.907242
K8o,0.353727
K7o,0.0407726
K6s,0.783403
K6o,0.018875
K5o,0.0448251
KJs,0.888644
K2o,0.989553
QJs,0.985469
A6s,0.898905
QQ,0.826071
QTs,0.758588
Q9o,2.06471e-05
Q7s,0.238257
K7s,0.822145
Q6s,0.174981
Q6o,0.145592
Q5o,0.903966
Q3s,0.496723
Q7o,0.621965
Q3o,0.195865
Q2s,0.16954
Q2o,0.0535368
QJo,0.906539
JJ,0.895915
JTs,0.289442
K5s,0.618987
JTo,0.577538
J9s,0.692944
QTo,0.0177891
J8o,0.0107454
J5s,0.193183
J5o,0.804294
J4s,0.975059
T6o,0.969255
98o,0.244642
J3s,0.154126
J3o,0.258877
92s,0.00791057
95o,0.172119
98s,0.902946
J7s,0.36447
J7o,0.620971
J2s,0.00049267
A8s,0.889277
J2o,0.662089
87o,0.011961
TT,0.785556
T9s,0.802493
88,0.616611
J9o,0.152431
T9o,0.376866
T8o,0.862057
66,0.837954
T7s,0.987706
K9o,0.288736
T4s,0.407244
T5s,0.0876128
A7s,0.858797
A5s,0.976893
44,0.973376
T3s,0.0466993
T8s,0.462088
T3o,0.235327
75o,0.228528
T5o,0.590024
A2s,0.574588
Q8o,0.721556
T2o,0.139941
97o,0.774572
J6o,0.541828
96o,0.998734
53s,0.431079
76s,0.60753
94o,0.0950749
K3s,0.691767
T2s,0.738523
93o,0.120199
87s,0.819333
Q4s,0.0199718
52s,0.136901
73s,0.00209975
J8s,0.836753
A6o,0.862709
93s,0.0339939
85s,0.0195338
82o,0.0223678
82s,0.196588
Q5s,0.433038
96s,0.392442
86o,0.237923
85o,0.894647
62o,0.00712365
Q9s,0.994391
53o,0.252285
74o,0.0618367
83o,0.000195884
63o,0.0421946
AKs,0.99716
Q4o,0.857712
77,0.20708
94s,0.383594
K3o,0.804155
64s,0.397543
A5o,0.360835
86s,0.720799
76o,0.248203
75s,0.783919
74s,0.00348428
32o,0.0428726
43s,0.544701
73o,0.000444784
K4s,0.837602
84o,0.437995
T6s,0.434123
92o,0.207712
ATs,0.923809
72s,0.253227
65s,0.0585971
83s,0.834552
22,0.996105
KJo,0.983668
33,0.643049
55,0.807117
52o,0.00348869
K2s,0.493244
65o,0.860261
84s,0.00123284
54o,0.0882781
T7o,0.969122
KK,0.569571
64o,0.00396857
J6s,0.137396
KTo,0.241223
Q8s,0.747644
63s,0.999957
54s,0.122777
43o,0.414691
KQo,0.82059
K4o,0.866276
62s,0.0495556
95s,0.462305
72o,0.00181566
J4o,0.622988
97s,0.986772
32s,0.00669998
T4o,0.0262689
KTs,0.99202
42s,0.125652
42o,0.0022766
99,0.510382
