hand,prob
AA,0.0852567
AKo,0.103173
AQs,0.00874253
AQo,0.0324979
AJs,4.37738e-05
ATo,0.000154304
A9s,0.0177535
AJo,0.134755
A9o,0.0452488
A8o,0.589465
A7o,0.643978
A4s,0.0111681
A4o,0.755152
A3s,0.315789
A3o,0.987219
A2o,0.536217
KQs,0.000948159
K9s,0.371574
K8s,0.405317
K8o,0.885834
K7o,0.896852
K6s,0.438563
K6o,0.995284
K5o,0.509561
KJs,0.0274409
K2o,0.01137
QJs,0.015111
A6s,0.0298207
QQ,0.0827804
QTs,0.129134
Q9o,0.999994
Q7s,0.537391
K7s,0.0445649
Q6s,0.300892
Q6o,0.704415
Q5o,0.0240317
Q3s,0.501962
Q7o,0.682907
Q3o,0.616799
Q2s,0.221132
Q2o,0.986568
QJo,0.0347274
JJ,0.358457
JTs,0.216333
K5s,0.171174
JTo,0.754642
J9s,0.233583
QTo,0.995574
J8o,0.997312
J5s,0.840573
J5o,0.0488858
J4s,0.00620647
T6o,0.245124
98o,0.938857
J3s,0.961643
J3o,0.312295
92s,0.780373
95o,0.758425
98s,0.0275317
J7s,0.866469
J7o,0.151783
J2s,0.999875
A8s,0.0771047
J2o,0.110191
87o,0.997004
TT,0.0533583
T9s,0.0494256
88,0.105353
J9o,0.884142
T9o,0.643924
T8o,0.359698
66,0.281813
T7s,0.0030711
K9o,0.689291
T4s,0.651724
T5s,0.978052
A7s,0.143351
A5s,0.00575273
44,0.00664247
T3s,0.340902
T8s,0.262632
T3o,0.742446
75o,0.565849
T5o,0.385862
A2s,0.846774
Q8o,0.715364
T2o,0.965085
97o,0.0565595
J6o,0.304385
96o,0.000313956
53s,0.573806
76s,0.696896
94o,0.951441
K3s,0.503216
T2s,0.0825352
93o,0.872352
87s,0.0987369
Q4s,0.792567
52s,0.777982
73s,0.999446
J8s,0.0408589
A6o,0.144113
93s,0.991331
85s,0.307203
82o,0.108555
82s,0.896819
Q5s,0.419664
96s,0.187719
86o,0.712844
85o,0.0261618
62o,0.018323
Q9s,0.364247
53o,0.567121
74o,0.984458
83o,0.993249
63o,0.973343
AKs,0.000710938
Q4o,0.0578755
77,0.947605
94s,0.903268
K3o,0.0489499
64s,0.363842
A5o,0.669229
86s,0.105549
76o,0.938189
75s,0.521087
74s,0.999026
32o,0.00148202
43s,0.863796
73o,0.994845
K4s,0.243134
84o,0.890754
T6s,0.162956
92o,0.766496
ATs,0.0444998
72s,0.935571
65s,0.244449
83s,0.091067
22,0.000968166
KJo,0.00408927
33,0.0890386
55,0.333956
52o,0.987213
K2s,0.301263
65o,0.769962
84s,0.999472
54o,0.977875
T7o,0.0490172
KK,0.311156
64o,0.999005
J6s,0.965984
KTo,0.459591
Q8s,0.0869901
63s,1.02781e-05
54s,0.876953
43o,0.463339
KQo,0.34454
K4o,0.138196
62s,0.987509
95s,0.390317
72o,0.00150842
J4o,0.0953361
97s,0.0841025
32s,0.997643
T4o,0.901225
KTs,0.00197787
42s,0.844333
42o,0.0587445
99,0.703724
