hand,prob
AA,0.193862
AKo,0.12841
AQs,0.285822
AQo,0.0669458
AJs,0.0027769
ATo,0.00991087
A9s,0.107244
AJo,9.65123e-05
A9o,0.375737
A8o,0.512842
A7o,0.274953
A4s,0.482955
A4o,0.996817
A3s,0.575583
A3o,0.9573
A2o,0.935087
KQs,0.0611541
K9s,0.166077
K8s,0.00503145
K8o,0.928496
K7o,0.832418
K6s,0.00527641
K6o,0.704153
K5o,0.857731
KJs,0.02412
K2o,0.108638
QJs,0.239385
A6s,0.907065
QQ,0.212685
QTs,0.0651663
Q9o,0.999601
Q7s,0.0122296
K7s,0.484405
Q6s,0.00737812
Q6o,0.182046
Q5o,0.638038
Q3s,0.657422
Q7o,0.697302
Q3o,0.981025
Q2s,0.0760348
Q2o,0.57264
QJo,0.761216
JJ,0.00610729
JTs,0.438954
K5s,0.655192
JTo,0.00285508
J9s,0.0678626
QTo,0.903758
J8o,0.825911
J5s,0.228204
J5o,0.444765
J4s,0.308858
T6o,0.467994
98o,0.938645
J3s,0.799838
J3o,0.0485213
92s,0.872077
95o,0.958837
98s,0.150068
J7s,0.408449
J7o,0.749368
J2s,0.991967
A8s,0.460903
J2o,0.0480151
87o,0.952451
TT,0.506189
T9s,0.930534
88,0.447311
J9o,0.999523
T9o,0.441796
T8o,0.60706
66,0.0206165
T7s,0.123701
K9o,0.995558
T4s,0.0452866
T5s,0.639075
A7s,0.100064
A5s,0.291359
44,0.104725
T3s,0.770483
T8s,0.0727216
T3o,0.886909
75o,0.852758
T5o,0.668304
A2s,0.250739
Q8o,0.302692
T2o,0.637392
97o,0.439341
J6o,0.9987
96o,0.020022
53s,0.94638
76s,0.325384
94o,0.893778
K3s,0.220204
T2s,0.377787
93o,0.603066
87s,0.536199
Q4s,0.679576
52s,0.66719
73s,0.963929
J8s,0.169452
A6o,0.493273
93s,0.811094
85s,0.682764
82o,0.387639
82s,0.824347
Q5s,0.568233
96s,0.117016
86o,0.998627
85o,0.604952
62o,0.573465
Q9s,0.086222
53o,0.209426
74o,0.236654
83o,0.971534
63o,0.568112
AKs,0.0456088
Q4o,0.606535
77,0.0501748
94s,0.936267
K3o,0.992819
64s,0.804405
A5o,0.207102
86s,0.576286
76o,0.865866
75s,0.636564
74s,0.938082
32o,0.0943333
43s,0.12952
73o,0.667918
K4s,0.448616
84o,0.283776
T6s,0.120356
92o,0.451558
ATs,0.092757
72s,0.205713
65s,0.813143
83s,0.695896
22,0.0491586
KJo,0.252042
33,0.180722
55,0.0358825
52o,0.75861
K2s,0.66928
65o,0.68648
84s,0.966352
54o,0.993431
T7o,0.10589
KK,0.567426
64o,0.997304
J6s,0.791335
KTo,0.752592
Q8s,0.190733
63s,0.000657298
54s,0.715645
43o,0.992883
KQo,0.00121806
K4o,0.145908
62s,0.270005
95s,0.93513
72o,0.0962556
J4o,0.10506
97s,0.112463
32s,0.850688
T4o,0.926032
KTs,0.128262
42s,0.460303
42o,0.0223793
99,0.262129
