hand,prob
AA,0.448438
AKo,0.10895
AQs,0.259216
AQo,0.00367385
AJs,0.0450015
ATo,0.159406
A9s,0.498653
AJo,0.00152868
A9o,0.0629667
A8o,0.227634
A7o,0.483419
A4s,0.112987
A4o,0.949218
A3s,0.000103719
A3o,0.957439
A2o,0.592763
KQs,0.526048
K9s,0.432349
K8s,0.0787727
K8o,0.23197
K7o,0.282959
K6s,0.0841185
K6o,0.104298
K5o,0.381811
KJs,0.332541
K2o,0.477854
QJs,0.450492
A6s,0.353309
QQ,0.404176
QTs,0.319446
Q9o,0.99363
Q7s,0.207851
K7s,0.586845
Q6s,0.113706
Q6o,0.963392
Q5o,0.43925
Q3s,0.380713
Q7o,0.383677
Q3o,0.716163
Q2s,0.223514
Q2o,0.166248
QJo,0.757009
JJ,0.0998596
JTs,0.103978
K5s,0.90107
JTo,0.0448124
J9s,0.698659
QTo,0.737681
J8o,0.992215
J5s,0.630857
J5o,0.742121
J4s,0.31848
T6o,0.685799
98o,0.535358
J3s,0.356662
J3o,0.164261
92s,0.397351
95o,0.628467
98s,0.0775794
J7s,0.40689
J7o,0.682686
J2s,0.873153
A8s,0.231869
J2o,0.641741
87o,0.887539
TT,0.514856
T9s,0.721045
88,0.279505
J9o,0.992154
T9o,0.154652
T8o,0.16602
66,0.310603
T7s,0.823347
K9o,0.928312
T4s,0.698139
T5s,0.114942
A7s,0.972567
A5s,0.302933
44,0.461381
T3s,0.992632
T8s,0.696453
T3o,0.464264
75o,0.787321
T5o,0.150601
A2s,0.553357
Q8o,0.195921
T2o,0.912676
97o,0.371873
J6o,0.979307
96o,0.321131
53s,0.991191
76s,0.999815
94o,0.786972
K3s,0.561822
T2s,0.537841
93o,0.414824
87s,0.22936
Q4s,0.698498
52s,0.0428291
73s,0.575774
J8s,0.80631
A6o,0.807199
93s,0.104287
85s,0.440359
82o,0.239549
82s,0.644687
Q5s,0.445992
96s,0.197148
86o,0.991569
85o,0.390581
62o,0.260951
Q9s,0.119697
53o,0.888464
74o,0.245748
83o,0.549172
63o,0.324685
AKs,0.394627
Q4o,0.792377
77,0.263948
94s,0.882366
K3o,0.885856
64s,0.157742
A5o,0.028716
86s,0.0578197
76o,0.938904
75s,0.225427
74s,0.995914
32o,0.556622
43s,0.45163
73o,0.539024
K4s,0.825347
84o,0.639506
T6s,0.67053
92o,0.390832
ATs,0.251593
72s,0.473683
65s,0.128084
83s,0.355405
22,0.147458
KJo,9.23836e-06
33,0.550834
55,0.277951
52o,0.347259
K2s,0.505819
65o,0.331514
84s,0.456458
54o,0.894327
T7o,0.85966
KK,0.212051
64o,0.996209
J6s,0.446326
KTo,0.373816
Q8s,0.561027
63s,0.010978
54s,0.55397
43o,0.884069
KQo,0.0194073
K4o,0.886233
62s,0.529665
95s,0.898568
72o,0.212423
J4o,0.566635
97s,0.21304
32s,0.119518
T4o,0.893299
KTs,0.942585
42s,0.434093
42o,0.0382813
99,0.723216
