hand,prob
AA,0.806138
AKo,0.871589
AQs,0.714156
AQo,0.933054
AJs,0.99722
ATo,0.990087
A9s,0.892728
AJo,0.999897
A9o,0.624113
A8o,0.486997
A7o,0.724913
A4s,0.516985
A4o,0.00318261
A3s,0.424414
A3o,0.0422317
A2o,0.0648404
KQs,0.938846
K9s,0.833921
K8s,0.994527
K8o,0.0712012
K7o,0.166298
K6s,0.994262
K6o,0.295839
K5o,0.142187
KJs,0.975831
K2o,0.889821
QJs,0.760615
A6s,0.092883
QQ,0.787315
QTs,0.934608
Q9o,0.000332597
Q7s,0.987689
K7s,0.515387
Q6s,0.992482
Q6o,0.817087
Q5o,0.360478
Q3s,0.340462
Q7o,0.300384
Q3o,0.015885
Q2s,0.922478
Q2o,0.425719
QJo,0.238757
JJ,0.993893
JTs,0.561046
K5s,0.344098
JTo,0.99708
J9s,0.931999
QTo,0.0962376
J8o,0.173837
J5s,0.769595
J5o,0.552771
J4s,0.690485
T6o,0.531938
98o,0.0611717
J3s,0.199339
J3o,0.930587
92s,0.127053
95o,0.0287847
98s,0.849517
J7s,0.585815
J7o,0.250498
J2s,0.00793335
A8s,0.538873
J2o,0.950842
87o,0.0473576
TT,0.493783
T9s,0.0694473
88,0.552663
J9o,0.000389565
T9o,0.558199
T8o,0.392108
66,0.979356
T7s,0.875323
K9o,0.00442025
T4s,0.953245
T5s,0.360461
A7s,0.899936
A5s,0.708425
44,0.89502
T3s,0.229489
T8s,0.926828
T3o,0.112872
75o,0.139556
T5o,0.326483
A2s,0.749218
Q8o,0.697019
T2o,0.361892
97o,0.560281
J6o,0.000697279
96o,0.979788
53s,0.0531963
76s,0.674613
94o,0.0983502
K3s,0.779424
T2s,0.622085
93o,0.351404
87s,0.463779
Q4s,0.319985
52s,0.332388
73s,0.0340029
J8s,0.830516
A6o,0.506462
93s,0.174606
85s,0.312608
82o,0.28659
82s,0.1546
Q5s,0.426429
96s,0.882244
86o,0.000981065
85o,0.393702
62o,0.114397
Q9s,0.913778
53o,0.78466
74o,0.758592
83o,0.00314643
63o,0.269261
AKs,0.954381
Q4o,0.386377
77,0.949468
94s,0.0575656
K3o,0.00633861
64s,0.187368
A5o,0.792865
86s,0.423564
76o,0.133699
75s,0.361714
74s,0.0550896
32o,0.29383
43s,0.87045
73o,0.00716462
K4s,0.551268
84o,0.715273
T6s,0.87964
92o,0.0850371
ATs,0.907233
72s,0.756147
65s,0.185939
83s,0.263436
22,0.950692
KJo,0.747958
33,0.81904
55,0.964108
52o,0.0557405
K2s,0.330326
65o,0.312462
84s,0.0195546
54o,0.00218326
T7o,0.893207
KK,0.432574
64o,0.00246947
J6s,0.208663
KTo,0.247406
Q8s,0.808629
63s,0.999321
54s,0.284088
43o,0.000121118
KQo,0.998782
K4o,0.85393
62s,0.716972
95s,0.0640425
72o,0.0288899
J4o,0.881109
97s,0.887234
32s,0.10548
T4o,8.78669e-06
KTs,0.871738
42s,0.407563
42o,0.0357683
99,0.737869
