hand,prob
AA,0.851718
AKo,0.941932
AQs,0.999456
AQo,0.949481
AJs,0.996259
ATo,0.99999
A9s,0.99889
AJo,0.942945
A9o,0.955351
A8o,0.898598
A7o,0.631728
A4s,0.9993
A4o,0.015824
A3s,0.976606
A3o,0.156379
A2o,0.681971
KQs,0.99994
K9s,0.481696
K8s,0.900109
K8o,0.122429
K7o,0.153928
K6s,0.490635
K6o,0.000295208
K5o,0.546737
KJs,0.998279
K2o,0.919849
QJs,0.566996
A6s,0.998136
QQ,0.96404
QTs,0.988397
Q9o,3.22618e-07
Q7s,0.862795
K7s,0.940219
Q6s,0.116392
Q6o,0.214431
Q5o,0.998497
Q3s,0.22702
Q7o,0.343019
Q3o,0.935006
Q2s,0.468313
Q2o,0.224232
QJo,0.846723
JJ,0.849682
JTs,0.986488
K5s,0.481955
JTo,0.652908
J9s,0.963918
QTo,0.0156564
J8o,0.0144604
J5s,0.0184622
J5o,0.964494
J4s,0.787324
T6o,0.982252
98o,0.124351
J3s,0.0153514
J3o,0.112971
92s,0.0136869
95o,0.565677
98s,0.968679
J7s,0.753659
J7o,0.990528
J2s,0.0689159
A8s,0.9952
J2o,0.650458
87o,0.000186443
TT,0.655241
T9s,0.996924
88,0.830541
J9o,0.0133728
T9o,0.0586807
T8o,0.0437349
66,0.463417
T7s,0.999806
K9o,0.548567
T4s,0.461842
T5s,0.0366047
A7s,0.990931
A5s,0.99964
44,0.999583
T3s,0.135342
T8s,0.724652
T3o,0.0483693
75o,0.310798
T5o,0.514204
A2s,0.511166
Q8o,0.0299633
T2o,0.00219441
97o,0.724294
J6o,0.980983
96o,0.99998
53s,0.8619
76s,0.932358
94o,0.00910141
K3s,0.0593414
T2s,0.386792
93o,0.00485891
87s,0.886717
Q4s,0.01969
52s,0.360464
73s,3.28166e-05
J8s,0.997454
A6o,0.143757
93s,0.000527524
85s,0.517551
82o,0.000348882
82s,0.836986
Q5s,0.679329
96s,0.886112
86o,0.243168
85o,0.996426
62o,0.000111821
Q9s,0.728374
53o,0.426817
74o,0.464476
83o,3.05643e-06
63o,0.187078
AKs,0.999956
Q4o,0.99638
77,0.00934683
94s,0.252071
K3o,0.996935
64s,0.974242
A5o,0.0802602
86s,0.840135
76o,0.00385731
75s,0.599148
74s,5.40727e-05
32o,0.000667168
43s,0.641736
73o,6.94185e-06
K4s,0.175646
84o,0.415483
T6s,0.687816
92o,0.0036467
ATs,0.99718
72s,0.00398267
65s,0.955548
83s,0.127857
22,0.999939
KJo,0.999744
33,0.994419
55,0.202277
52o,5.44572e-05
K2s,0.0975917
65o,0.0143285
84s,1.93259e-05
54o,0.00137677
T7o,0.684593
KK,0.842617
64o,6.19391e-05
J6s,0.0417552
KTo,0.216759
Q8s,0.990236
63s,0.668019
54s,0.89002
43o,0.484465
KQo,0.83228
K4o,0.962629
62s,0.000770425
95s,0.217295
72o,2.82668e-05
J4o,0.989141
97s,0.981123
32s,0.000104305
T4o,0.323909
KTs,0.999875
42s,0.0172241
42o,3.55774e-05
99,0.949273
