hand,prob
AA,0.86573
AKo,0.831211
AQs,0.879723
AQo,0.870053
AJs,0.98892
ATo,0.960144
A9s,0.686251
AJo,0.999593
A9o,0.983962
A8o,0.880701
A7o,0.772618
A4s,0.425572
A4o,0.0127832
A3s,0.664771
A3o,0.067911
A2o,0.104077
KQs,0.760115
K9s,0.426466
K8s,0.977958
K8o,0.280138
K7o,0.490694
K6s,0.976942
K6o,0.738943
K5o,0.452978
KJs,0.90619
K2o,0.697053
QJs,0.40873
A6s,0.162747
QQ,0.54908
QTs,0.803528
Q9o,0.00133767
Q7s,0.950236
K7s,0.101679
Q6s,0.969953
Q6o,0.283355
Q5o,0.743419
Q3s,0.457132
Q7o,0.647661
Q3o,0.0631735
Q2s,0.78303
Q2o,0.678776
QJo,0.060985
JJ,0.975377
JTs,0.935396
K5s,0.0220391
JTo,0.988366
J9s,0.81045
QTo,0.0647006
J8o,0.0265681
J5s,0.360043
J5o,0.282913
J4s,0.917623
T6o,0.151864
98o,0.247007
J3s,0.292153
J3o,0.725479
92s,0.484975
95o,0.0763597
98s,0.979298
J7s,0.81654
J7o,0.397195
J2s,0.0310729
A8s,0.580434
J2o,0.800789
87o,0.113399
TT,0.442773
T9s,0.273486
88,0.398459
J9o,0.00155335
T9o,0.614951
T8o,0.810555
66,0.917711
T7s,0.488397
K9o,0.0178235
T4s,0.812372
T5s,0.626343
A7s,0.603386
A5s,0.535465
44,0.613328
T3s,0.333163
T8s,0.706405
T3o,0.176944
75o,0.0232763
T5o,0.941488
A2s,0.322154
Q8o,0.657034
T2o,0.0186999
97o,0.81472
J6o,0.00280072
96o,0.918392
53s,0.000578874
76s,0.44471
94o,0.0225053
K3s,0.53679
T2s,0.600863
93o,0.593659
87s,0.571053
Q4s,0.703757
52s,0.839782
73s,0.135761
J8s,0.758271
A6o,0.357056
93s,0.55408
85s,0.670844
82o,0.210819
82s,0.295943
Q5s,0.120205
96s,0.733965
86o,0.00393263
85o,0.644184
62o,0.446772
Q9s,0.969621
53o,0.149846
74o,0.849178
83o,0.0126599
63o,0.608958
AKs,0.815575
Q4o,0.0417082
77,0.798329
94s,0.168288
K3o,0.0253689
64s,0.658181
A5o,0.490081
86s,0.984771
76o,0.217796
75s,0.730286
74s,0.20979
32o,0.458255
43s,0.479168
73o,0.0282996
K4s,0.221152
84o,0.51138
T6s,0.562009
92o,0.00255431
ATs,0.638061
72s,0.229109
65s,0.770483
83s,0.495466
22,0.861248
KJo,0.999997
33,0.615826
55,0.858295
52o,0.0154083
K2s,0.193588
65o,0.607033
84s,0.0792812
54o,0.00882617
T7o,0.570807
KK,0.948026
64o,0.00956401
J6s,0.677043
KTo,0.663411
Q8s,0.50765
63s,0.997209
54s,0.110823
43o,0.000484078
KQo,0.995146
K4o,0.421642
62s,0.18528
95s,0.162518
72o,0.116283
J4o,0.52836
97s,0.545227
32s,0.179663
T4o,3.16635e-05
KTs,0.492533
42s,0.420133
42o,0.112882
99,0.741971
