hand,prob
AA,0.012182
AKo,0.151285
AQs,0.0348279
AQo,0.129974
AJs,0.000175241
ATo,0.000615435
A9s,0.0707391
AJo,0.235436
A9o,0.167339
A8o,0.651646
A7o,0.718599
A4s,0.0449777
A4o,0.476064
A3s,0.0701997
A3o,0.948967
A2o,0.995911
KQs,0.0038194
K9s,0.343212
K8s,0.0927297
K8o,0.646253
K7o,0.959147
K6s,0.216569
K6o,0.981124
K5o,0.95517
KJs,0.111353
K2o,0.0103499
QJs,0.0145306
A6s,0.101092
QQ,0.173929
QTs,0.241398
Q9o,0.999975
Q7s,0.761738
K7s,0.177842
Q6s,0.825011
Q6o,0.854354
Q5o,0.0959412
Q3s,0.503145
Q7o,0.37789
Q3o,0.803941
Q2s,0.830367
Q2o,0.946361
QJo,0.0934589
JJ,0.104085
JTs,0.710558
K5s,0.380968
JTo,0.422458
J9s,0.307047
QTo,0.982211
J8o,0.989239
J5s,0.806681
J5o,0.195551
J4s,0.0248993
T6o,0.0307411
98o,0.755347
J3s,0.845822
J3o,0.739828
92s,0.992035
95o,0.827108
98s,0.0970287
J7s,0.63517
J7o,0.379021
J2s,0.999501
A8s,0.110709
J2o,0.33784
87o,0.988027
TT,0.214442
T9s,0.197505
88,0.383387
J9o,0.847564
T9o,0.623134
T8o,0.137891
66,0.162045
T7s,0.0122331
K9o,0.711263
T4s,0.592664
T5s,0.912358
A7s,0.141203
A5s,0.0230938
44,0.0266077
T3s,0.953299
T8s,0.537885
T3o,0.764659
75o,0.770998
T5o,0.409651
A2s,0.425409
Q8o,0.278426
T2o,0.860015
97o,0.225404
J6o,0.458134
96o,0.00125429
53s,0.568895
76s,0.39247
94o,0.904429
K3s,0.30821
T2s,0.261469
93o,0.679528
87s,0.180666
Q4s,0.980001
52s,0.863073
73s,0.997773
J8s,0.163245
A6o,0.137274
93s,0.965117
85s,0.980177
82o,0.310914
82s,0.802092
Q5s,0.566637
96s,0.607511
86o,0.762053
85o,0.105269
62o,0.0731183
Q9s,0.00560925
53o,0.747348
74o,0.937869
83o,0.972944
63o,0.947733
AKs,0.00283919
Q4o,0.141848
77,0.792897
94s,0.61602
K3o,0.195793
64s,0.601943
A5o,0.639163
86s,0.279192
76o,0.75177
75s,0.215972
74s,0.996087
32o,0.00594169
43s,0.455297
73o,0.979384
K4s,0.162391
84o,0.561945
T6s,0.565877
92o,0.41321
ATs,0.0761899
72s,0.744416
65s,0.941344
83s,0.162896
22,0.00388562
KJo,0.016332
33,0.356937
55,0.192882
52o,0.948781
K2s,0.506732
65o,0.139672
84s,0.997879
54o,0.911445
T7o,0.0308215
KK,0.430429
64o,0.996017
J6s,0.862604
KTo,0.758777
Q8s,0.252317
63s,4.17365e-05
54s,0.877206
43o,0.584874
KQo,0.17941
K4o,0.133714
62s,0.949627
95s,0.537642
72o,0.00604944
J4o,0.376156
97s,0.0132093
32s,0.990524
T4o,0.969147
KTs,0.00798035
42s,0.866043
42o,0.216524
99,0.489618
