hand,prob
AA,0.148282
AKo,0.0580684
AQs,0.000543881
AQo,0.0505186
AJs,0.0037405
ATo,9.61567e-06
A9s,0.00110991
AJo,0.0570553
A9o,0.0446493
A8o,0.101402
A7o,0.368272
A4s,0.000699486
A4o,0.984176
A3s,0.0233942
A3o,0.843621
A2o,0.318029
KQs,5.96558e-05
K9s,0.518304
K8s,0.0998907
K8o,0.877571
K7o,0.84607
K6s,0.509365
K6o,0.999705
K5o,0.453263
KJs,0.00172099
K2o,0.0801492
QJs,0.433004
A6s,0.00186361
QQ,0.0359605
QTs,0.0116032
Q9o,1
Q7s,0.137205
K7s,0.0597808
Q6s,0.883608
Q6o,0.785568
Q5o,0.00150132
Q3s,0.772978
Q7o,0.656979
Q3o,0.0649907
Q2s,0.531685
Q2o,0.775767
QJo,0.153277
JJ,0.150318
JTs,0.0135125
K5s,0.518045
JTo,0.347092
J9s,0.0360817
QTo,0.984344
J8o,0.985539
J5s,0.981536
J5o,0.0355034
J4s,0.212675
T6o,0.0177479
98o,0.875649
J3s,0.984648
J3o,0.887009
92s,0.986312
95o,0.434311
98s,0.0313206
J7s,0.246336
J7o,0.00947234
J2s,0.931084
A8s,0.0047995
J2o,0.349541
87o,0.999813
TT,0.344759
T9s,0.00307645
88,0.169459
J9o,0.986627
T9o,0.941319
T8o,0.956264
66,0.536583
T7s,0.000192686
K9o,0.451433
T4s,0.538157
T5s,0.963395
A7s,0.00906944
A5s,0.000359879
44,0.0004168
T3s,0.864658
T8s,0.275347
T3o,0.95163
75o,0.689194
T5o,0.485791
A2s,0.488834
Q8o,0.970036
T2o,0.997805
97o,0.275706
J6o,0.0190165
96o,1.96167e-05
53s,0.1381
76s,0.0676423
94o,0.990891
K3s,0.940658
T2s,0.613208
93o,0.992014
87s,0.113283
Q4s,0.98031
52s,0.639536
73s,0.999965
J8s,0.00254576
A6o,0.856243
93s,0.999459
85s,0.482445
82o,0.00676012
82s,0.162994
Q5s,0.320666
96s,0.113887
86o,0.756831
85o,0.00357277
62o,0.00114775
Q9s,0.271626
53o,0.573177
74o,0.53552
83o,0.55422
63o,0.812765
AKs,4.42828e-05
Q4o,0.00361357
77,0.990653
94s,0.747923
K3o,0.00306444
64s,0.0257497
A5o,0.91974
86s,0.159865
76o,0.996142
75s,0.400851
74s,0.999939
32o,9.24624e-05
43s,0.358264
73o,0.999678
K4s,0.824354
84o,0.584516
T6s,0.312184
92o,0.164726
ATs,0.00282002
72s,0.99598
65s,0.044451
83s,0.872103
22,6.04165e-05
KJo,0.000255544
33,0.0055803
55,0.797723
52o,0.9992
K2s,0.902408
65o,0.98567
84s,0.999967
54o,0.998619
T7o,0.315406
KK,0.157383
64o,0.999938
J6s,0.958245
KTo,0.783241
Q8s,0.00976325
63s,0.331981
54s,0.109979
43o,0.515529
KQo,0.16772
K4o,0.037371
62s,0.999217
95s,0.782704
72o,9.41796e-05
J4o,0.0108453
97s,0.0188768
32s,0.999852
T4o,0.676019
KTs,0.000124604
42s,0.982646
42o,0.0036771
99,0.050727
