hand,prob
AA,0.551561
AKo,0.891045
AQs,0.740443
AQo,0.996319
AJs,0.95495
ATo,0.840563
A9s,0.500886
AJo,0.99837
A9o,0.934597
A8o,0.76979
A7o,0.514406
A4s,0.886031
A4o,0.0507718
A3s,0.999849
A3o,0.0350734
A2o,0.406077
KQs,0.473949
K9s,0.567619
K8s,0.91432
K8o,0.763054
K7o,0.695785
K6s,0.908523
K6o,0.895564
K5o,0.616882
KJs,0.66671
K2o,0.49772
QJs,0.549508
A6s,0.645845
QQ,0.595824
QTs,0.67694
Q9o,0.00531179
Q7s,0.790757
K7s,0.409771
Q6s,0.88414
Q6o,0.0228999
Q5o,0.536575
Q3s,0.586296
Q7o,0.578586
Q3o,0.235073
Q2s,0.751884
Q2o,0.831758
QJo,0.242557
JJ,0.90014
JTs,0.896012
K5s,0.087867
JTo,0.954173
J9s,0.298996
QTo,0.262246
J8o,0.00383643
J5s,0.334612
J5o,0.217852
J4s,0.670618
T6o,0.313086
98o,0.461685
J3s,0.629875
J3o,0.513525
92s,0.589464
95o,0.173366
98s,0.915865
J7s,0.499827
J7o,0.315151
J2s,0.125277
A8s,0.764435
J2o,0.33979
87o,0.109458
TT,0.484693
T9s,0.278658
88,0.720084
J9o,0.00640936
T9o,0.845277
T8o,0.820528
66,0.688952
T7s,0.160488
K9o,0.0713419
T4s,0.278259
T5s,0.877505
A7s,0.0274225
A5s,0.693639
44,0.534451
T3s,0.0069105
T8s,0.29648
T3o,0.532205
75o,0.0923336
T5o,0.765649
A2s,0.445949
Q8o,0.799509
T2o,0.0757309
97o,0.622045
J6o,0.0111012
96o,0.675826
53s,0.00227729
76s,0.000134511
94o,0.0882156
K3s,0.432302
T2s,0.460162
93o,0.497141
87s,0.770285
Q4s,0.294633
52s,0.950308
73s,0.391281
J8s,0.193174
A6o,0.188607
93s,0.662229
85s,0.486943
82o,0.58958
82s,0.271909
Q5s,0.47265
96s,0.790846
86o,0.00226017
85o,0.587943
62o,0.284835
Q9s,0.880303
53o,0.0168097
74o,0.678643
83o,0.0497753
63o,0.540578
AKs,0.605212
Q4o,0.104057
77,0.730272
94s,0.0207382
K3o,0.100754
64s,0.709977
A5o,0.97075
86s,0.939805
76o,0.0543402
75s,0.745964
74s,0.00383748
32o,0.274532
43s,0.547897
73o,0.110747
K4s,0.172796
84o,0.345426
T6s,0.329409
92o,0.0101935
ATs,0.748239
72s,0.182219
65s,0.856923
83s,0.438905
22,0.850152
KJo,0.999986
33,0.445417
55,0.721893
52o,0.0616375
K2s,0.487779
65o,0.651636
84s,0.315885
54o,0.0351222
T7o,0.125633
KK,0.787949
64o,0.000171841
J6s,0.553653
KTo,0.626146
Q8s,0.429061
63s,0.988654
54s,0.441716
43o,0.00197282
KQo,0.980592
K4o,0.111215
62s,0.421868
95s,0.0880143
72o,0.247626
J4o,0.287461
97s,0.78195
32s,0.553211
T4o,0.000126972
KTs,0.0574146
42s,0.164101
42o,0.00277093
99,0.276749
