hand,prob
AA,0.116411
AKo,0.0557102
AQs,0.000135871
AQo,0.0518815
AJs,0.173252
ATo,2.40473e-06
A9s,0.000277555
AJo,0.0142696
A9o,0.046707
A8o,0.118853
A7o,0.141797
A4s,0.000175114
A4o,0.996045
A3s,0.0058565
A3o,0.822529
A2o,0.112366
KQs,1.49081e-05
K9s,0.613914
K8s,0.024951
K8o,0.968501
K7o,0.7012
K6s,0.788362
K6o,0.999926
K5o,0.200436
KJs,0.0176453
K2o,0.0200102
QJs,0.203333
A6s,0.000464799
QQ,0.00898413
QTs,0.00290555
Q9o,1
Q7s,0.577548
K7s,0.0148995
Q6s,0.971015
Q6o,0.776054
Q5o,0.000375762
Q3s,0.436908
Q7o,0.6806
Q3o,0.016232
Q2s,0.882843
Q2o,0.542042
QJo,0.374127
JJ,0.135674
JTs,0.00338741
K5s,0.748363
JTo,0.637515
J9s,0.00903067
QTo,0.993239
J8o,0.996385
J5s,0.492158
J5o,0.00889224
J4s,0.213713
T6o,0.0044349
98o,0.601818
J3s,0.996157
J3o,0.842652
92s,0.996576
95o,0.769475
98s,0.00779045
J7s,0.0614965
J7o,0.00236923
J2s,0.982779
A8s,0.0011996
J2o,0.784226
87o,0.999953
TT,0.249578
T9s,0.000767553
88,0.0889033
J9o,0.996656
T9o,0.985334
T8o,0.989082
66,0.499951
T7s,4.80673e-05
K9o,0.719989
T4s,0.856107
T5s,0.867657
A7s,0.0022689
A5s,9.00798e-05
44,0.000103863
T3s,0.966155
T8s,0.076
T3o,0.987902
75o,0.920856
T5o,0.249672
A2s,0.257511
Q8o,0.739134
T2o,0.999452
97o,0.0792633
J6o,0.00476084
96o,4.89984e-06
53s,0.0345698
76s,0.0169329
94o,0.997726
K3s,0.52977
T2s,0.89894
93o,0.998006
87s,0.0689722
Q4s,0.992721
52s,0.832723
73s,0.999991
J8s,0.000635427
A6o,0.917491
93s,0.999865
85s,0.583138
82o,0.00169055
82s,0.416351
Q5s,0.250673
96s,0.492175
86o,0.939132
85o,0.0193864
62o,0.000287021
Q9s,0.0679655
53o,0.837247
74o,0.353648
83o,0.588355
63o,0.953218
AKs,1.10733e-05
Q4o,0.000902139
77,0.997662
94s,0.87839
K3o,0.000766065
64s,0.00644029
A5o,0.979903
86s,0.0400477
76o,0.999033
75s,0.313022
74s,0.99997
32o,2.31107e-05
43s,0.089461
73o,0.999919
K4s,0.953114
84o,0.754262
T6s,0.0782105
92o,0.0411388
ATs,0.000705832
72s,0.998992
65s,0.0111449
83s,0.968078
22,1.51122e-05
KJo,0.0176417
33,0.00139752
55,0.641103
52o,0.947265
K2s,0.723097
65o,0.99641
84s,0.715291
54o,0.999654
T7o,0.0790235
KK,0.135761
64o,0.881237
J6s,0.639594
KTo,0.774745
Q8s,0.0695781
63s,0.0844528
54s,0.0274499
43o,0.494688
KQo,0.0593193
K4o,0.496023
62s,0.999804
95s,0.936876
72o,2.35731e-05
J4o,0.00270515
97s,0.0964942
32s,0.999963
T4o,0.574374
KTs,3.10559e-05
42s,0.995649
42o,0.000918548
99,0.591042
