hand,prob
AA,0.914743
AKo,0.896827
AQs,0.991257
AQo,0.967502
AJs,0.999956
ATo,0.999846
A9s,0.982246
AJo,0.865245
A9o,0.954749
A8o,0.410532
A7o,0.35602
A4s,0.988831
A4o,0.244848
A3s,0.684211
A3o,0.0127737
A2o,0.463782
KQs,0.999052
K9s,0.628426
K8s,0.594676
K8o,0.114162
K7o,0.103128
K6s,0.561429
K6o,0.00471548
K5o,0.490438
KJs,0.972558
K2o,0.988606
QJs,0.984889
A6s,0.970178
QQ,0.91722
QTs,0.870863
Q9o,5.14642e-06
Q7s,0.462608
K7s,0.955432
Q6s,0.699106
Q6o,0.295571
Q5o,0.975945
Q3s,0.498005
Q7o,0.317056
Q3o,0.383153
Q2s,0.778845
Q2o,0.013406
QJo,0.965272
JJ,0.641543
JTs,0.783667
K5s,0.828815
JTo,0.245357
J9s,0.766414
QTo,0.00442553
J8o,0.00268365
J5s,0.159393
J5o,0.951076
J4s,0.993783
T6o,0.754875
98o,0.0611404
J3s,0.0383438
J3o,0.68738
92s,0.219613
95o,0.241382
98s,0.972462
J7s,0.133441
J7o,0.848215
J2s,0.000123376
A8s,0.922892
J2o,0.889791
87o,0.00299269
TT,0.946641
T9s,0.950574
88,0.894647
J9o,0.115857
T9o,0.356076
T8o,0.640289
66,0.718187
T7s,0.996914
K9o,0.310709
T4s,0.348253
T5s,0.0219408
A7s,0.856649
A5s,0.994244
44,0.993354
T3s,0.659097
T8s,0.737361
T3o,0.25755
75o,0.434033
T5o,0.614056
A2s,0.153225
Q8o,0.284632
T2o,0.0349035
97o,0.943435
J6o,0.695606
96o,0.999683
53s,0.426188
76s,0.303104
94o,0.048435
K3s,0.496778
T2s,0.917463
93o,0.0776623
87s,0.901263
Q4s,0.207426
52s,0.222012
73s,0.000522469
J8s,0.959141
A6o,0.855883
93s,0.00844841
85s,0.692725
82o,0.00560241
82s,0.102853
Q5s,0.580254
96s,0.81227
86o,0.28715
85o,0.973817
62o,0.00178514
Q9s,0.635753
53o,0.432788
74o,0.0154687
83o,4.88776e-05
63o,0.0241443
AKs,0.999289
Q4o,0.942014
77,0.0523893
94s,0.0966346
K3o,0.951037
64s,0.63603
A5o,0.330771
86s,0.894448
76o,0.0618042
75s,0.478886
74s,0.000866804
32o,0.0106936
43s,0.136203
73o,0.000111212
K4s,0.756864
84o,0.109231
T6s,0.837044
92o,0.0583444
ATs,0.9555
72s,0.0638344
65s,0.755536
83s,0.908299
22,0.999029
KJo,0.995911
33,0.910958
55,0.666044
52o,0.000870933
K2s,0.698731
65o,0.230022
84s,0.00030709
54o,0.0220562
T7o,0.950969
KK,0.688844
64o,0.000991154
J6s,0.0340157
KTo,0.540409
Q8s,0.913
63s,0.999989
54s,0.123043
43o,0.536553
KQo,0.65546
K4o,0.861802
62s,0.0122885
95s,0.60967
72o,0.000452734
J4o,0.904449
97s,0.915893
32s,0.0016665
T4o,0.0976246
KTs,0.998022
42s,0.153582
42o,0.000568376
99,0.296276
