hand,fold,call,raise to: 6
96o,0.003044,0.321131,0.675826
53s,0.006531,0.991191,0.002277
76s,0.000051,0.999815,0.000135
94o,0.124813,0.786972,0.088216
K3s,0.005875,0.561822,0.432302
T2s,0.001997,0.537841,0.460162
93o,0.088034,0.414824,0.497141
85o,0.021476,0.390581,0.587943
86o,0.006171,0.991569,0.002260
Q5s,0.081358,0.445992,0.472650
96s,0.012007,0.197148,0.790846
A6o,0.004194,0.807199,0.188607
93s,0.233483,0.104287,0.662229
85s,0.072698,0.440359,0.486943
K4s,0.001856,0.825347,0.172796
84o,0.015068,0.639506,0.345426
TT,0.000451,0.514856,0.484693
87o,0.003003,0.887539,0.109458
84s,0.227657,0.456458,0.315885
62o,0.454213,0.260951,0.284835
Q9s,0.000000,0.119697,0.880303
53o,0.094726,0.888464,0.016810
74o,0.075610,0.245748,0.678643
83o,0.401053,0.549172,0.049775
82o,0.170872,0.239549,0.589580
82s,0.083403,0.644687,0.271909
K3o,0.013390,0.885856,0.100754
64s,0.132281,0.157742,0.709977
A5o,0.000534,0.028716,0.970750
86s,0.002375,0.057820,0.939805
76o,0.006756,0.938904,0.054340
94s,0.096895,0.882366,0.020738
75s,0.028610,0.225427,0.745964
74s,0.000249,0.995914,0.003837
32o,0.168846,0.556622,0.274532
Q4s,0.006870,0.698498,0.294633
J8s,0.000516,0.806310,0.193174
52s,0.006863,0.042829,0.950308
73s,0.032944,0.575774,0.391281
T6s,0.000061,0.670530,0.329409
92o,0.598975,0.390832,0.010193
73o,0.350230,0.539024,0.110747
43s,0.000473,0.451630,0.547897
ATs,0.000168,0.251593,0.748239
72s,0.344097,0.473683,0.182219
65s,0.014993,0.128084,0.856923
KK,0.000000,0.212051,0.787949
64o,0.003620,0.996209,0.000172
54o,0.070550,0.894327,0.035122
J6s,0.000021,0.446326,0.553653
KTo,0.000038,0.373816,0.626146
Q8s,0.009912,0.561027,0.429061
63s,0.000368,0.010978,0.988654
54s,0.004314,0.553970,0.441716
K2s,0.006402,0.505819,0.487779
65o,0.016850,0.331514,0.651636
52o,0.591103,0.347259,0.061637
42o,0.958948,0.038281,0.002771
T4o,0.106574,0.893299,0.000127
KTs,0.000000,0.942585,0.057415
42s,0.401806,0.434093,0.164101
95s,0.013417,0.898568,0.088014
72o,0.539950,0.212423,0.247626
J4o,0.145905,0.566635,0.287461
97s,0.005010,0.213040,0.781950
32s,0.327271,0.119518,0.553211
83s,0.205689,0.355405,0.438905
AA,0.000001,0.448438,0.551561
99,0.000034,0.723216,0.276749
KJo,0.000005,0.000009,0.999986
33,0.003749,0.550834,0.445417
22,0.002390,0.147458,0.850152
J9o,0.001437,0.992154,0.006409
88,0.000411,0.279505,0.720084
KQo,0.000000,0.019407,0.980592
K4o,0.002552,0.886233,0.111215
62s,0.048467,0.529665,0.421868
43o,0.113958,0.884069,0.001973
55,0.000156,0.277951,0.721893
87s,0.000355,0.229360,0.770285
QJo,0.000433,0.757009,0.242557
JJ,0.000000,0.099860,0.900140
AKs,0.000161,0.394627,0.605212
Q4o,0.103567,0.792377,0.104057
77,0.005779,0.263948,0.730272
63o,0.134737,0.324685,0.540578
T7o,0.014707,0.859660,0.125633
A6s,0.000846,0.353309,0.645845
QTs,0.003615,0.319446,0.676940
QQ,0.000000,0.404176,0.595824
