hand,fold,call,raise to: 6
AKo,0.000006,0.108950,0.891045
AQo,0.000007,0.003674,0.996319
AQs,0.000341,0.259216,0.740443
AJs,0.000049,0.045001,0.954950
ATo,0.000030,0.159406,0.840563
AJo,0.000101,0.001529,0.998370
A9o,0.002436,0.062967,0.934597
A9s,0.000461,0.498653,0.500886
A8o,0.002576,0.227634,0.769790
A7o,0.002175,0.483419,0.514406
A4o,0.000010,0.949218,0.050772
A4s,0.000981,0.112987,0.886031
A3o,0.007487,0.957439,0.035073
A3s,0.000048,0.000104,0.999849
A2o,0.001160,0.592763,0.406077
KQs,0.000003,0.526048,0.473949
K9s,0.000032,0.432349,0.567619
K8o,0.004976,0.231970,0.763054
K8s,0.006908,0.078773,0.914320
K7o,0.021256,0.282959,0.695785
K6o,0.000138,0.104298,0.895564
K6s,0.007358,0.084118,0.908523
K5o,0.001307,0.381811,0.616882
KJs,0.000749,0.332541,0.666710
K2o,0.024426,0.477854,0.497720
QJs,0.000000,0.450492,0.549508
Q9o,0.001058,0.993630,0.005312
Q7s,0.001392,0.207851,0.790757
Q6o,0.013708,0.963392,0.022900
K7s,0.003383,0.586845,0.409771
Q6s,0.002154,0.113706,0.884140
Q5o,0.024175,0.439250,0.536575
Q7o,0.037737,0.383677,0.578586
Q3o,0.048765,0.716163,0.235073
Q3s,0.032990,0.380713,0.586296
Q2o,0.001994,0.166248,0.831758
Q2s,0.024601,0.223514,0.751884
K5s,0.011063,0.901070,0.087867
JTo,0.001014,0.044812,0.954173
JTs,0.000009,0.103978,0.896012
J9s,0.002345,0.698659,0.298996
QTo,0.000073,0.737681,0.262246
J8o,0.003949,0.992215,0.003836
J5o,0.040027,0.742121,0.217852
J5s,0.034531,0.630857,0.334612
J4s,0.010902,0.318480,0.670618
J3o,0.322214,0.164261,0.513525
T6o,0.001115,0.685799,0.313086
98o,0.002957,0.535358,0.461685
J3s,0.013463,0.356662,0.629875
A8s,0.003696,0.231869,0.764435
J2o,0.018469,0.641741,0.339790
J7o,0.002163,0.682686,0.315151
95o,0.198167,0.628467,0.173366
92s,0.013186,0.397351,0.589464
98s,0.006556,0.077579,0.915865
J7s,0.093282,0.406890,0.499827
J2s,0.001571,0.873153,0.125277
T9o,0.000071,0.154652,0.845277
T9s,0.000297,0.721045,0.278658
T8o,0.013452,0.166020,0.820528
66,0.000445,0.310603,0.688952
T7s,0.016165,0.823347,0.160488
K9o,0.000346,0.928312,0.071342
T4s,0.023602,0.698139,0.278259
T8s,0.007067,0.696453,0.296480
T3o,0.003531,0.464264,0.532205
T5s,0.007552,0.114942,0.877505
A7s,0.000010,0.972567,0.027423
A5s,0.003429,0.302933,0.693639
44,0.004168,0.461381,0.534451
T3s,0.000457,0.992632,0.006911
75o,0.120346,0.787321,0.092334
T5o,0.083750,0.150601,0.765649
A2s,0.000694,0.553357,0.445949
Q8o,0.004570,0.195921,0.799509
T2o,0.011593,0.912676,0.075731
97o,0.006082,0.371873,0.622045
J6o,0.009591,0.979307,0.011101
