hand,fold,call,raise to: 6
84s,0.151567,0.339474,0.508959
62o,0.516917,0.186652,0.296431
Q9s,0.000003,0.122211,0.877787
53o,0.944091,0.036704,0.019205
74o,0.809960,0.076490,0.113550
83o,0.046397,0.014088,0.939515
82o,0.114956,0.022674,0.862370
82s,0.899597,0.052405,0.047999
K3o,0.429430,0.472007,0.098563
64s,0.000031,0.999073,0.000896
A5o,0.044682,0.942635,0.012683
86s,0.387766,0.442664,0.169570
76o,0.486742,0.393935,0.119323
94s,0.214251,0.325576,0.460173
75s,0.157659,0.241843,0.600498
74s,0.293027,0.014785,0.692188
32o,0.658572,0.005752,0.335676
Q4s,0.013245,0.533321,0.453434
J8s,0.020216,0.933814,0.045970
52s,0.915913,0.084087,0.000000
73s,0.937906,0.055412,0.006682
T6s,0.921949,0.055531,0.022520
92o,0.568264,0.376337,0.055399
73o,0.404964,0.562905,0.032131
43s,0.399286,0.533316,0.067398
ATs,0.000007,0.910636,0.089357
72s,0.105548,0.866963,0.027488
65s,0.982050,0.017939,0.000011
KK,0.000000,0.213931,0.786069
64o,0.624548,0.138906,0.236546
54o,0.467350,0.528299,0.004351
J6s,0.084154,0.660479,0.255367
KTo,0.044406,0.080479,0.875115
Q8s,0.816828,0.058978,0.124195
63s,0.161707,0.313927,0.524366
54s,0.352261,0.647733,0.000006
K2s,0.000011,0.263547,0.736442
65o,0.934427,0.058870,0.006703
52o,0.516399,0.385459,0.098142
42o,0.855320,0.141774,0.002905
T4o,0.091839,0.000683,0.907478
KTs,0.001473,0.612320,0.386207
42s,0.223600,0.228690,0.547710
95s,0.587982,0.238141,0.173877
72o,0.784080,0.163357,0.052563
J4o,0.429046,0.005372,0.565582
97s,0.209522,0.055445,0.735033
32s,0.547097,0.145056,0.307848
83s,0.455655,0.122020,0.422325
AA,0.007426,0.024802,0.967772
99,0.242490,0.592548,0.164962
KJo,0.051236,0.104054,0.844710
33,0.540197,0.000007,0.459796
22,0.162098,0.402063,0.435839
J9o,0.345208,0.182388,0.472404
88,0.046201,0.306677,0.647122
KQo,0.005971,0.010325,0.983704
K4o,0.025629,0.686973,0.287398
62s,0.408338,0.149469,0.442193
43o,0.965577,0.022766,0.011657
55,0.182545,0.619653,0.197802
87s,0.857234,0.133043,0.009723
QJo,0.019314,0.772412,0.208274
JJ,0.000002,0.863426,0.136572
AKs,0.093198,0.896807,0.009995
Q4o,0.215962,0.595575,0.188463
77,0.043849,0.293293,0.662859
63o,0.292101,0.646352,0.061547
T7o,0.986316,0.013673,0.000011
A6s,0.106634,0.322305,0.571061
QTs,0.362757,0.080598,0.556645
QQ,0.004667,0.307894,0.687439
