hand,fold,call,raise to: 6
AKo,0.067413,0.905143,0.027445
AQo,0.083565,0.886101,0.030334
AQs,0.055051,0.458199,0.486750
AJs,0.675535,0.067460,0.257005
ATo,0.363375,0.067684,0.568941
AJo,0.000876,0.015518,0.983605
A9o,0.000681,0.819735,0.179584
A9s,0.010728,0.486492,0.502779
A8o,0.183756,0.657102,0.159142
A7o,0.240388,0.260615,0.498997
A4o,0.042067,0.048417,0.909516
A4s,0.540192,0.032717,0.427090
A3o,0.150334,0.783853,0.065813
A3s,0.040422,0.764246,0.195331
A2o,0.841344,0.105754,0.052902
KQs,0.034969,0.930146,0.034885
K9s,0.000009,0.046255,0.953736
K8o,0.510748,0.205051,0.284201
K8s,0.373029,0.430700,0.196271
K7o,0.253861,0.115682,0.630457
K6o,0.178576,0.520774,0.300650
K6s,0.369480,0.395501,0.235019
K5o,0.267544,0.732449,0.000007
KJs,0.291444,0.280430,0.428126
K2o,0.161144,0.316609,0.522247
QJs,0.000000,1.000000,0.000000
Q9o,0.018584,0.094732,0.886684
Q7s,0.188746,0.200067,0.611187
Q6o,0.742617,0.239342,0.018042
K7s,0.171996,0.317195,0.510809
Q6s,0.005994,0.570898,0.423109
Q5o,0.560619,0.391054,0.048327
Q7o,0.090203,0.050532,0.859265
Q3o,0.302598,0.607933,0.089470
Q3s,0.364496,0.194371,0.441133
Q2o,0.875575,0.124422,0.000002
Q2s,0.981636,0.001816,0.016549
K5s,0.050030,0.840859,0.109111
JTo,0.208615,0.001077,0.790308
JTs,0.110686,0.518440,0.370874
J9s,0.409019,0.238092,0.352890
QTo,0.129482,0.706604,0.163914
J8o,0.084515,0.528982,0.386502
J5o,0.025386,0.859068,0.115545
J5s,0.577947,0.337707,0.084346
J4s,0.968852,0.001933,0.029215
J3o,0.295585,0.347624,0.356792
T6o,0.529910,0.132054,0.338037
98o,0.173491,0.567695,0.258813
J3s,0.505744,0.341162,0.153094
A8s,0.000001,0.828719,0.171280
J2o,0.565660,0.046260,0.388080
J7o,0.150384,0.361785,0.487830
95o,0.134389,0.020664,0.844947
92s,0.254294,0.683439,0.062267
98s,0.031555,0.544278,0.424167
J7s,0.065825,0.670460,0.263715
J2s,0.233099,0.360203,0.406697
T9o,0.151158,0.198045,0.650797
T9s,0.156272,0.438078,0.405651
T8o,0.329550,0.059021,0.611430
66,0.016716,0.641292,0.341992
T7s,0.597668,0.329457,0.072875
K9o,0.318306,0.449939,0.231756
T4s,0.278037,0.043644,0.678319
T8s,0.555560,0.250678,0.193762
T3o,0.786808,0.183130,0.030062
T5s,0.714890,0.021915,0.263195
A7s,0.111378,0.760092,0.128530
A5s,0.165958,0.302883,0.531159
44,0.181586,0.098431,0.719983
T3s,0.950941,0.049054,0.000004
75o,0.862665,0.006894,0.130441
T5o,0.754134,0.097210,0.148656
A2s,0.254767,0.386041,0.359192
Q8o,0.165557,0.332569,0.501873
T2o,0.964214,0.014946,0.020840
97o,0.583427,0.266189,0.150384
J6o,0.548300,0.402190,0.049510
96o,0.341234,0.370072,0.288694
53s,0.498061,0.244946,0.256993
76s,0.358234,0.290149,0.351617
94o,0.086230,0.494469,0.419301
K3s,0.567099,0.314651,0.118251
T2s,0.990449,0.000321,0.009230
93o,0.464734,0.270741,0.264525
85o,0.778747,0.121137,0.100117
86o,0.045475,0.001808,0.952717
Q5s,0.014023,0.980286,0.005691
96s,0.039095,0.960902,0.000003
A6o,0.462028,0.217357,0.320615
93s,0.386296,0.597354,0.016350
85s,0.847587,0.012725,0.139688
K4s,0.009639,0.961920,0.028441
84o,0.405130,0.075544,0.519326
TT,0.203237,0.781192,0.015571
87o,0.470420,0.049653,0.479928
