hand,fold,call,raise to: 6
AKo,0.000630,0.105391,0.893979
AQo,0.000690,0.373541,0.625769
AQs,0.034233,0.377652,0.588115
AJs,0.005097,0.530077,0.464827
ATo,0.003029,0.489496,0.507475
AJo,0.009948,0.142107,0.847945
A9o,0.239990,0.644390,0.115620
A9s,0.047916,0.635367,0.316717
A8o,0.041886,0.778067,0.180048
A7o,0.228104,0.758435,0.013462
A4o,0.001008,0.818230,0.180762
A4s,0.098756,0.643199,0.258044
A3o,0.083413,0.733687,0.182900
A3s,0.004749,0.010359,0.984892
A2o,0.111085,0.333107,0.555807
KQs,0.000322,0.675455,0.324222
K9s,0.003093,0.428234,0.568673
K8o,0.299112,0.349917,0.350971
K8s,0.628260,0.253715,0.118025
K7o,0.707003,0.017005,0.275991
K6o,0.010160,0.462790,0.527050
K6s,0.403355,0.593113,0.003532
K5o,0.138810,0.009030,0.852160
KJs,0.071576,0.442758,0.485666
K2o,0.239443,0.294170,0.466386
QJs,0.000000,0.893399,0.106601
Q9o,0.033369,0.881418,0.085213
Q7s,0.126730,0.480271,0.393000
Q6o,0.130653,0.467291,0.402056
K7s,0.044635,0.790534,0.164832
Q6s,0.224424,0.392904,0.382673
Q5o,0.174569,0.334113,0.491318
Q7o,0.317652,0.304128,0.378220
Q3o,0.458064,0.319431,0.222505
Q3s,0.485027,0.339902,0.175071
Q2o,0.197052,0.121022,0.681926
Q2s,0.184062,0.524085,0.291852
K5s,0.337798,0.432038,0.230163
JTo,0.099839,0.308829,0.591332
JTs,0.000894,0.876747,0.122359
J9s,0.206207,0.034827,0.758967
QTo,0.007426,0.206087,0.786487
J8o,0.353542,0.431236,0.215222
J5o,0.256469,0.196271,0.547259
J5s,0.307068,0.242715,0.450217
J4s,0.473766,0.305998,0.220236
J3o,0.172333,0.006971,0.820695
T6o,0.109644,0.742904,0.147452
98o,0.049288,0.244064,0.706648
J3s,0.241230,0.588598,0.170172
A8s,0.033882,0.375587,0.590531
J2o,0.334317,0.394716,0.270967
J7o,0.045385,0.400528,0.554087
95o,0.822822,0.135507,0.041671
92s,0.891454,0.068996,0.039550
98s,0.078995,0.294864,0.626141
J7s,0.068013,0.367932,0.564055
J2s,0.131726,0.245139,0.623134
T9o,0.006795,0.176948,0.816258
T9s,0.033792,0.582542,0.383667
T8o,0.245034,0.332485,0.422481
66,0.040890,0.925302,0.033809
T7s,0.747010,0.120688,0.132302
K9o,0.035113,0.959747,0.005140
T4s,0.218411,0.647748,0.133841
T8s,0.326803,0.308808,0.364389
T3o,0.011316,0.983224,0.005460
T5s,0.244134,0.454932,0.300934
A7s,0.001067,0.994979,0.003954
A5s,0.368863,0.189259,0.441878
44,0.395459,0.511868,0.092673
T3s,0.041846,0.958154,0.000000
75o,0.628939,0.291362,0.079699
T5o,0.552869,0.221000,0.226131
A2s,0.024968,0.217576,0.757457
Q8o,0.305776,0.456336,0.237888
T2o,0.075757,0.847772,0.076472
97o,0.128223,0.728757,0.143021
J6o,0.557646,0.144657,0.297698
96o,0.294998,0.106839,0.598164
53s,0.437869,0.330403,0.231728
76s,0.004970,0.981887,0.013143
94o,0.509643,0.269210,0.221147
K3s,0.465772,0.530809,0.003419
T2s,0.208911,0.711353,0.079736
93o,0.487350,0.006037,0.506613
85o,0.173872,0.017458,0.808670
86o,0.384803,0.376346,0.238852
Q5s,0.633321,0.067196,0.299483
96s,0.073110,0.488284,0.438606
A6o,0.021034,0.100128,0.878838
93s,0.405212,0.561157,0.033630
85s,0.081843,0.330885,0.587272
K4s,0.174592,0.223853,0.601555
84o,0.176301,0.801348,0.022351
TT,0.042204,0.013928,0.943868
87o,0.307721,0.139188,0.553091
84s,0.378006,0.287412,0.334582
62o,0.138434,0.535747,0.325820
Q9s,0.000000,0.992227,0.007773
53o,0.348437,0.000349,0.651214
74o,0.304551,0.183089,0.512360
83o,0.687174,0.047977,0.264848
82o,0.241000,0.749151,0.009849
82s,0.294953,0.513957,0.191090
K3o,0.479585,0.126732,0.393682
64s,0.023128,0.043031,0.933841
A5o,0.053152,0.230667,0.716181
86s,0.225634,0.361567,0.412799
76o,0.124783,0.021070,0.854148
94s,0.559643,0.318770,0.121587
75s,0.016779,0.815605,0.167617
74s,0.023935,0.882879,0.093186
32o,0.029580,0.666362,0.304058
Q4s,0.638119,0.090473,0.271408
J8s,0.051322,0.791582,0.157096
52s,0.486418,0.016338,0.497245
73s,0.912145,0.087812,0.000042
T6s,0.006481,0.095049,0.898471
92o,0.864761,0.134658,0.000581
73o,0.418751,0.393327,0.187922
43s,0.048658,0.592684,0.358659
ATs,0.015851,0.354225,0.629924
72s,0.170005,0.784164,0.045831
65s,0.492270,0.342497,0.165233
KK,0.000000,0.005897,0.994103
64o,0.357929,0.623688,0.018384
54o,0.262228,0.093301,0.644471
J6s,0.002182,0.869283,0.128536
KTo,0.003650,0.259562,0.736788
Q8s,0.176738,0.489478,0.333785
63s,0.019313,0.715683,0.265004
54s,0.253842,0.256807,0.489351
K2s,0.621325,0.369442,0.009233
65o,0.436891,0.108912,0.454197
52o,0.135624,0.433652,0.430725
42o,0.611805,0.122829,0.265366
T4o,0.024464,0.961842,0.013694
KTs,0.000012,0.956079,0.043908
42s,0.733287,0.172660,0.094054
95s,0.157885,0.401128,0.440987
72o,0.821105,0.002090,0.176804
J4o,0.323313,0.288410,0.388277
97s,0.310500,0.117954,0.571546
32s,0.390774,0.602981,0.006244
83s,0.277517,0.206809,0.515674
AA,0.000081,0.006993,0.992927
99,0.003373,0.991821,0.004807
KJo,0.000436,0.000886,0.998677
33,0.388984,0.204878,0.406138
22,0.221646,0.582035,0.196319
J9o,0.141159,0.546258,0.312582
88,0.043473,0.072551,0.883976
KQo,0.000051,0.681233,0.318716
K4o,0.144991,0.284480,0.570529
62s,0.927363,0.008716,0.063921
43o,0.335885,0.459354,0.204761
55,0.014894,0.798910,0.186197
87s,0.033009,0.166426,0.800565
QJo,0.042829,0.157838,0.799333
JJ,0.000000,0.239812,0.760188
AKs,0.017352,0.381891,0.600757
Q4o,0.040138,0.038133,0.921729
77,0.228070,0.285569,0.486361
63o,0.369972,0.464633,0.165396
T7o,0.401222,0.509566,0.089212
A6s,0.076868,0.510359,0.412773
QTs,0.050816,0.525024,0.424160
QQ,0.000046,0.973769,0.026185
