hand,fold,call,raise to: 6
AKo,0.000000,0.095252,0.904748
AQo,0.000000,0.064072,0.935928
AQs,0.000000,0.000892,0.999108
AJs,0.000000,0.006125,0.993875
ATo,0.000000,0.000016,0.999984
AJo,0.000000,0.020120,0.979880
A9o,0.000000,0.073232,0.926767
A9s,0.000000,0.001820,0.998180
A8o,0.000000,0.164639,0.835361
A7o,0.000000,0.603913,0.396087
A4o,0.000000,0.974081,0.025919
A4s,0.000000,0.001148,0.998852
A3o,0.000001,0.989850,0.010149
A3s,0.000000,0.038376,0.961624
A2o,0.000000,0.390814,0.609186
KQs,0.000000,0.000098,0.999902
K9s,0.000000,0.452134,0.547866
K8o,0.000000,0.799209,0.200790
K8s,0.000001,0.163577,0.836422
K7o,0.000002,0.747822,0.252176
K6o,0.000000,0.999516,0.000484
K6s,0.000001,0.519741,0.480258
K5o,0.000000,0.502629,0.497371
KJs,0.000000,0.002826,0.997174
K2o,0.000002,0.131325,0.868673
QJs,0.000000,0.126550,0.873450
Q9o,0.000000,0.999999,0.000001
Q7s,0.000000,0.143571,0.856429
Q6o,0.000001,0.694824,0.305174
K7s,0.000000,0.093564,0.906435
Q6s,0.000000,0.809395,0.190605
Q5o,0.000002,0.002460,0.997538
Q7o,0.000004,0.507387,0.492610
Q3o,0.000005,0.106386,0.893609
Q3s,0.000003,0.670338,0.329658
Q2o,0.000003,0.783705,0.216293
Q2s,0.000002,0.263305,0.736693
K5s,0.000001,0.617578,0.382421
JTo,0.000000,0.394057,0.605943
JTs,0.000000,0.022189,0.977811
J9s,0.000000,0.059192,0.940808
QTo,0.000000,0.999546,0.000454
J8o,0.000000,0.976270,0.023730
J5o,0.000004,0.058069,0.941927
J5s,0.000003,0.983776,0.016220
J4s,0.000001,0.040980,0.959019
J3o,0.000033,0.815032,0.184935
T6o,0.000000,0.029077,0.970923
98o,0.000000,0.993744,0.006256
J3s,0.000001,0.974876,0.025123
A8s,0.000000,0.007865,0.992135
J2o,0.000002,0.293774,0.706224
J7o,0.000000,0.015542,0.984458
95o,0.000020,0.398153,0.601827
92s,0.000001,0.977544,0.022455
98s,0.000001,0.051251,0.948748
J7s,0.000009,0.368125,0.631866
J2s,0.000000,0.886856,0.113144
T9o,0.000000,0.903693,0.096307
T9s,0.000000,0.005040,0.994960
T8o,0.000001,0.928314,0.071684
66,0.000000,0.343888,0.656112
T7s,0.000002,0.000316,0.999683
K9o,0.000000,0.369751,0.630249
T4s,0.000002,0.466246,0.533752
T8s,0.000001,0.419034,0.580965
T3o,0.000000,0.965122,0.034878
T5s,0.000001,0.962742,0.037257
A7s,0.000000,0.014876,0.985124
A5s,0.000000,0.000590,0.999409
44,0.000000,0.000683,0.999316
T3s,0.000000,0.778523,0.221477
75o,0.000012,0.707365,0.292623
T5o,0.000008,0.634966,0.365025
A2s,0.000000,0.734757,0.265243
