hand,fold,call,raise to: 6
Q8o,0.000000,0.950992,0.049007
T2o,0.000001,0.996404,0.003595
97o,0.000001,0.346906,0.653093
J6o,0.000001,0.031158,0.968841
96o,0.000000,0.000032,0.999968
53s,0.000001,0.225840,0.774160
76s,0.000000,0.110649,0.889351
94o,0.000013,0.985078,0.014909
K3s,0.000001,0.948618,0.051381
T2s,0.000000,0.585459,0.414540
93o,0.005123,0.986919,0.007959
85o,0.000002,0.005859,0.994139
86o,0.000001,0.601494,0.398506
Q5s,0.000008,0.138587,0.861405
96s,0.000001,0.157207,0.842791
A6o,0.000000,0.764598,0.235402
93s,0.000023,0.999112,0.000865
85s,0.000007,0.242090,0.757903
K4s,0.000000,0.807241,0.192759
84o,0.000002,0.473650,0.526349
TT,0.000000,0.474288,0.525712
87o,0.000000,0.999694,0.000305
84s,0.000023,0.999946,0.000032
62o,0.997936,0.001881,0.000183
Q9s,0.000000,0.444867,0.555133
53o,0.000009,0.533771,0.466219
74o,0.000008,0.644231,0.355761
83o,0.512837,0.487158,0.000005
82o,0.988350,0.011079,0.000572
82s,0.000034,0.127077,0.872889
K3o,0.000001,0.005015,0.994983
64s,0.000013,0.042092,0.957895
A5o,0.000000,0.953710,0.046290
86s,0.000000,0.132209,0.867791
76o,0.000001,0.993674,0.006325
94s,0.000010,0.604117,0.395873
75s,0.000003,0.274849,0.725148
74s,0.000011,0.999901,0.000089
32o,0.998754,0.000152,0.001094
Q4s,0.000001,0.967738,0.032262
J8s,0.000000,0.004178,0.995822
52s,0.000001,0.977279,0.022720
73s,0.000003,0.999943,0.000054
T6s,0.000000,0.376193,0.623807
92o,0.724291,0.269737,0.005971
73o,0.000516,0.999472,0.000011
43s,0.000000,0.585395,0.414605
ATs,0.000000,0.004623,0.995377
72s,0.000061,0.993411,0.006529
65s,0.000002,0.072951,0.927047
KK,0.000000,0.257378,0.742622
64o,0.000000,0.999898,0.000101
54o,0.000007,0.997734,0.002259
J6s,0.000000,0.989860,0.010140
KTo,0.000000,0.749048,0.250952
Q8s,0.000001,0.015969,0.984029
63s,0.000000,0.258055,0.741945
54s,0.000000,0.180307,0.819693
K2s,0.000001,0.840236,0.159763
65o,0.000002,0.976537,0.023462
52o,0.001221,0.998690,0.000089
42o,0.993917,0.006025,0.000058
T4o,0.000118,0.825945,0.173937
KTs,0.000000,0.000203,0.999797
42s,0.000212,0.971601,0.028187
95s,0.000001,0.716855,0.283143
72o,0.999799,0.000154,0.000046
J4o,0.000022,0.017762,0.982216
97s,0.000000,0.030910,0.969090
32s,0.000071,0.999758,0.000171
83s,0.000065,0.790639,0.209296
AA,0.000000,0.162959,0.837041
99,0.000000,0.083218,0.916782
KJo,0.000000,0.000418,0.999582
33,0.000000,0.009136,0.990863
22,0.000000,0.000099,0.999901
J9o,0.000000,0.980486,0.019514
88,0.000000,0.277364,0.722635
KQo,0.000000,0.228293,0.771707
K4o,0.000000,0.061247,0.938752
62s,0.000021,0.998719,0.001260
43o,0.000011,0.671075,0.328914
55,0.000000,0.704354,0.295646
87s,0.000000,0.010082,0.989918
QJo,0.000000,0.132837,0.867163
JJ,0.000000,0.074758,0.925242
AKs,0.000000,0.000073,0.999927
Q4o,0.000011,0.005919,0.994070
77,0.000001,0.984678,0.015322
63o,0.000257,0.692712,0.307031
T7o,0.000001,0.415406,0.584592
A6s,0.000000,0.003056,0.996943
QTs,0.000000,0.019003,0.980997
QQ,0.000000,0.058852,0.941148
